Type,Current,Facade,Position,Room,Time,Radiation,Visible,Setting_Changed,Head_Position_X,Head_Position_Y,Head_Position_Z,Head_Rotation_X,Head_Rotation_Y,Head_Rotation_Z,Facade_Position_X,Facade_Position_Y,Facade_Position_Z,Facade_Rotation_X,Facade_Rotation_Y,Facade_Rotation_Z,Gaze_Valid,Gaze_Origin_X,Gaze_Origin_Y,Gaze_Origin_Z,Gaze_Direction_X,Gaze_Direction_Y,Gaze_Direction_Z,Gaze_Confidence,Start_Task,Undo_Task,End_Task
Head,8.735577,,,,,,,,13.255,118.385,118.800,-5.106140,-3.039881,-2.625851,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,14.168,-1.354,6.591,0.988,-0.009,-0.152,1.0,,,
Head,8.991828,,,,,,,,12.859,118.400,118.095,-10.882034,-2.633465,-2.309206,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,13.768,-1.374,5.836,0.986,-0.003,-0.166,1.0,,,
Head,9.25654,,,,,,,,12.703,118.246,117.390,-16.322580,-2.576695,-2.053466,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,13.539,-1.792,5.028,0.932,-0.020,-0.362,1.0,,,
Head,9.513505,,,,,,,,13.232,117.907,116.568,-21.562038,-3.714801,-1.408730,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,14.082,-1.814,4.076,0.908,-0.025,-0.419,1.0,,,
Head,9.786057,,,,,,,,14.498,117.618,114.843,-29.656303,-4.675563,-0.298059,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,15.194,-2.251,2.337,0.781,-0.014,-0.624,1.0,,,
Head,10.041791,,,,,,,,15.034,117.425,113.425,-38.450417,-4.808109,0.110941,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,15.741,-2.311,0.765,0.758,-0.016,-0.652,1.0,,,
Head,10.306281,,,,,,,,14.803,117.380,112.016,-46.938885,-4.926731,0.856321,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,15.324,-2.284,-0.732,0.546,-0.008,-0.838,1.0,,,
Head,10.562498,,,,,,,,14.608,117.499,110.765,-54.129471,-4.952240,2.415702,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,15.097,-2.346,-2.072,0.518,-0.015,-0.855,1.0,,,
Head,10.813825,,,,,,,,14.319,117.604,109.237,-62.296711,-5.561734,4.931591,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,14.625,-2.530,-3.580,0.291,-0.043,-0.956,1.0,,,
Head,11.07935,,,,,,,,14.357,117.820,107.459,-68.370323,-5.343299,6.118152,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,14.623,-2.204,-5.356,0.281,-0.043,-0.959,1.0,,,
Head,11.332598,,,,,,,,14.476,117.972,105.516,-74.606712,-8.424497,10.180593,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,14.691,-2.324,-7.204,0.271,-0.046,-0.961,1.0,,,
Head,11.585025,,,,,,,,14.596,118.089,103.105,-82.171448,-17.845127,20.009809,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,14.661,-1.916,-9.873,0.094,-0.004,-0.996,1.0,,,
Head,11.843235,,,,,,,,14.304,117.895,100.564,-87.189781,-104.855957,106.633011,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,14.362,-2.162,-12.260,0.043,-0.009,-0.999,1.0,,,
Head,12.095339,,,,,,,,14.030,117.643,98.781,-83.580139,-151.450241,153.570053,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,14.151,-2.468,-14.036,0.055,-0.010,-0.998,1.0,,,
Head,12.352199,,,,,,,,14.010,117.536,99.168,-84.777519,-145.748596,147.584930,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,14.284,-2.422,-13.582,0.087,-0.014,-0.996,1.0,,,
Head,12.602857,,,,,,,,14.961,117.669,101.928,-84.552834,-23.788616,24.966578,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,15.160,-2.259,-10.829,0.128,-0.014,-0.992,1.0,,,
Head,12.860478,,,,,,,,15.041,117.925,104.520,-75.068642,-7.226592,8.623715,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,15.424,-1.665,-7.992,0.158,-0.018,-0.987,1.0,,,
Head,13.120871,,,,,,,,15.152,118.013,108.062,-63.112816,-1.332111,2.072835,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,15.743,-2.019,-4.440,0.593,0.014,-0.805,1.0,,,
Head,13.380542,,,,,,,,14.593,117.908,110.318,-53.486584,0.641717,-0.286833,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,15.184,-1.975,-2.116,0.599,0.020,-0.801,1.0,,,
Head,13.642756,,,,,,,,13.898,117.761,112.272,-44.896278,2.493595,-2.106883,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,14.552,-2.129,-0.114,0.664,0.023,-0.747,1.0,,,
Head,13.8967,,,,,,,,12.670,117.464,114.114,-36.575691,2.291829,-2.712448,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,13.348,-2.486,1.814,0.733,0.022,-0.680,1.0,,,
Head,14.168257,,,,,,,,11.139,117.301,115.794,-27.931339,2.011021,-2.497433,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,11.855,-2.764,3.469,0.813,0.023,-0.581,1.0,,,
Head,14.426842,,,,,,,,9.826,116.966,117.079,-20.396727,1.436755,-2.492240,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,10.583,-3.280,4.828,0.880,0.020,-0.475,1.0,,,
Head,14.691067,,,,,,,,8.785,116.613,118.219,-14.256072,0.746538,-2.995894,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,9.636,-3.323,5.879,0.924,0.020,-0.381,1.0,,,
Head,14.946344,,,,,,,,7.721,116.494,119.132,-8.923846,0.204457,-2.890658,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,8.570,-3.282,6.846,0.952,0.012,-0.306,1.0,,,
Head,15.2194,,,,,,,,6.110,116.630,119.948,-2.811142,0.828341,-2.972571,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,7.011,-3.921,7.791,0.989,0.006,-0.151,1.0,,,
Head,15.491064,,,,,,,,3.756,116.955,120.175,-0.800566,-0.000779,-2.656112,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,4.774,-3.389,8.018,0.992,-0.017,-0.128,1.0,,,
Head,15.751069,,,,,,,,1.552,116.812,120.155,-0.760391,-1.249126,-1.509645,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,2.501,-3.734,7.980,0.993,-0.011,-0.116,1.0,,,
Head,16.014179,,,,,,,,0.491,116.698,120.415,1.120110,-0.903926,-1.306217,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,1.393,-3.269,8.249,0.995,0.008,-0.099,1.0,,,
Head,16.271963,,,,,,,,0.739,116.932,120.285,0.191327,0.373189,-1.159018,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,1.711,-3.170,8.123,0.993,0.015,-0.116,1.0,,,
Head,16.545992,,,,,,,,1.024,116.948,120.254,-0.378488,0.497880,-1.166443,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,2.649,-2.879,7.917,0.992,0.015,-0.122,1.0,,,
Head,16.810257,,,,,,,,2.502,116.779,120.145,-1.271453,-0.348349,-0.726380,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,3.319,-3.537,8.000,0.999,-0.028,-0.031,1.0,,,
Head,17.060884,,,,,,,,3.196,116.402,120.181,-1.514116,-2.085743,-0.498619,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,4.062,-3.935,8.106,0.998,-0.045,0.033,1.0,,,
Head,17.320658,,,,,,,,3.825,115.920,120.468,-0.421976,-3.767628,-1.322005,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,4.719,-4.193,8.319,0.999,-0.038,0.028,1.0,,,
Head,17.585133,,,,,,,,4.623,115.865,120.120,-3.253902,-3.206483,-1.435476,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,5.533,-4.138,8.058,0.999,-0.028,0.021,1.0,,,
