Facade,Glare,Total,Daylit,Total
Pos1_9_louver_hor_10_75_10,935,6385,2255,6385
Pos1_12_louver_hor_10_75_10,1052,6385,2145,6385
Pos1_15_louver_hor_10_75_10,139,6385,2273,6385
Pos1_9_louver_hor_10_75_10_10,932,6385,2259,6385
Pos1_12_louver_hor_10_75_10_10,1027,6385,2171,6385
Pos1_15_louver_hor_10_75_10_10,106,6385,2306,6385
Pos1_9_louver_hor_10_75_10_20,932,6385,2259,6385
Pos1_12_louver_hor_10_75_10_20,1026,6385,2172,6385
Pos1_15_louver_hor_10_75_10_20,109,6385,2305,6385
Pos1_9_louver_hor_10_75_10_30,932,6385,2259,6385
Pos1_12_louver_hor_10_75_10_30,1029,6385,2169,6385
Pos1_15_louver_hor_10_75_10_30,110,6385,2307,6385
Pos1_9_louver_hor_20_30_10,937,6385,2256,6385
Pos1_12_louver_hor_20_30_10,1079,6385,2121,6385
Pos1_15_louver_hor_20_30_10,156,6385,2268,6385
Pos1_9_louver_hor_20_30_10_10,933,6385,2259,6385
Pos1_12_louver_hor_20_30_10_10,1032,6385,2168,6385
Pos1_15_louver_hor_20_30_10_10,109,6385,2308,6385
Pos1_9_louver_hor_20_30_10_20,932,6385,2260,6385
Pos1_12_louver_hor_20_30_10_20,1033,6385,2166,6385
Pos1_15_louver_hor_20_30_10_20,110,6385,2306,6385
Pos1_9_louver_hor_20_30_10_30,933,6385,2260,6385
Pos1_12_louver_hor_20_30_10_30,1037,6385,2163,6385
Pos1_15_louver_hor_20_30_10_30,110,6385,2307,6385
Pos1_9_louver_hor_20_75_10,932,6385,2257,6385
Pos1_12_louver_hor_20_75_10,1026,6385,2170,6385
Pos1_15_louver_hor_20_75_10,114,6385,2300,6385
Pos1_9_louver_hor_20_75_10_10,932,6385,2258,6385
Pos1_12_louver_hor_20_75_10_10,1024,6385,2173,6385
Pos1_15_louver_hor_20_75_10_10,107,6385,2304,6385
Pos1_9_louver_hor_20_75_10_20,932,6385,2259,6385
Pos1_15_louver_hor_20_75_10_20,109,6385,2305,6385
Pos1_12_louver_hor_20_75_10_20,1024,6385,2174,6385
Pos1_9_louver_hor_20_75_10_30,903,6385,2289,6385
Pos1_12_louver_hor_20_75_10_30,1005,6385,2194,6385
Pos1_15_louver_hor_20_75_10_30,79,6385,2336,6385
Pos1_9_facade1_15,944,6385,2254,6385
Pos1_12_facade1_15,1201,6385,2013,6385
Pos1_15_facade1_15,245,6385,2260,6385
Pos1_9_facade1_45,971,6385,2241,6385
Pos1_12_facade1_45,1515,6385,1723,6385
Pos1_15_facade1_45,494,6385,2200,6385
Pos1_9_facade1_75,1092,6385,2150,6385
Pos1_12_facade1_75,1931,6385,1347,6385
Pos1_15_facade1_75,836,6385,2138,6385
Pos1_9_fin_10_30_10,936,6385,2260,6385
Pos1_12_fin_10_30_10,1064,6385,2139,6385
Pos1_15_fin_10_30_10,128,6385,2302,6385
Pos1_9_fin_10_75_5,935,6385,2261,6385
Pos1_12_fin_10_75_5,1053,6385,2150,6385
Pos1_15_fin_10_75_5,116,6385,2312,6385
Pos1_9_fin_10_75_5_30,935,6385,2261,6385
Pos1_12_fin_10_75_5_30,1058,6385,2145,6385
Pos1_15_fin_10_75_5_30,118,6385,2312,6385
Pos1_9_fin_20_70_10_20,934,6385,2255,6385
Pos1_12_fin_20_70_10_20,1020,6385,2176,6385
Pos1_15_fin_20_70_10_20,120,6385,2289,6385
Pos1_9_fritt_15_5_10,938,6385,2258,6385
Pos1_12_fritt_15_5_10,1070,6385,2133,6385
Pos1_15_fritt_15_5_10,139,6385,2290,6385
Pos1_9_fritt_15_10_10,938,6385,2258,6385
Pos1_12_fritt_15_10_10,1070,6385,2133,6385
Pos1_15_fritt_15_10_10,131,6385,2297,6385
Pos1_9_fritt_30_5_10,938,6385,2258,6385
Pos1_12_fritt_30_5_10,1070,6385,2133,6385
Pos1_15_fritt_30_5_10,137,6385,2292,6385
Pos1_9_fritt_30_10_10,938,6385,2258,6385
Pos1_12_fritt_30_10_10,1070,6385,2133,6385
Pos1_15_fritt_30_10_10,120,6385,2308,6385
